item_name_index,name,category
4440,GrimArmor_Spooky2,Armor
4447,PhantomArmor,Armor
4454,PhantomArmor_Unique1,Armor
4461,FullPlateArmor,Armor
4468,FullPlateArmor_Unique1,Armor
4475,FullPlateArmor_Spooky2,Armor
4482,Speluncker Armor,Armor
4489,SpelunkersArmor_Unique1,Armor
4496,WolfArmor_Winter1,Armor
4503,SoulRobe,Armor
4510,SoulRobe_Unique1,Armor
4517,MysteryArmor,Armor
4531,OcelotArmor,Armor
4538,OcelotArmor_Unique1,Armor
4545,SnowArmor,Armor
4552,SnowArmor_Unique1,Armor
4559,ClimbingGear,Armor
4566,ClimbingGear_Unique1,Armor
4573,ClimbingGear_Unique2,Armor
4580,EmeraldArmor,Armor
4587,EmeraldArmor_Unique1,Armor
4594,EmeraldArmor_Unique2,Armor
4601,WolfArmor,Armor
4608,TurtleArmor_Unique1,Armor
4615,TurtleArmor,Armor
4622,SquidArmor_Unique1,Armor
4629,ShulkerArmor,Armor
4636,ShulkerArmor_Unique1,Armor
4643,Bard's Garb,Armor
4650,BardsGarb_Unique1,Armor
4657,EndRobes,Armor
4664,EndRobes_Unique1,Armor
4671,NatureArmor,Armor
4678,NatureArmor_Unique1,Armor
4685,Arrow,Artifact/Consumable
4741,Fireworks Arrow,Artifact/Consumable
4748,Harvester,Artifact/Consumable
4762,CorruptedSeeds,Artifact/Consumable
4769,IceWand,Artifact/Consumable
4776,GongOfWeakening,Artifact/Consumable
4783,LightFeather,Artifact/Consumable
4790,Wind Horn,Artifact/Consumable
4797,BootsOfSwiftness,Artifact/Consumable
4804,GhostCloak,Artifact/Consumable
4811,Fishing Rod,Artifact/Consumable
4818,Death Cap Mushroom,Artifact/Consumable
4825,ShockPowder,Artifact/Consumable
4832,IronHideAmulet,Artifact/Consumable
4839,TastyBone,Artifact/Consumable
4846,WonderfulWheat,Artifact/Consumable
4853,GolemKit,Artifact/Consumable
4860,LoveMedallion,Artifact/Consumable
4867,CorruptedBeacon,Artifact/Consumable
4874,CorruptedBeacon_Spooky1,Artifact/Consumable
4881,LightningRod,Artifact/Consumable
4888,SoulHealer,Artifact/Consumable
4895,TotemOfShielding,Artifact/Consumable
4916,TotemOfRegeneration,Artifact/Consumable
4923,TotemOfCasting,Artifact/Consumable
4930,FlamingQuiver,Artifact/Consumable
4937,TormentQuiver,Artifact/Consumable
4944,ThunderingQuiver,Artifact/Consumable
4951,SoulLantern,Artifact/Consumable
4958,BeeNest,Artifact/Consumable
4965,RainbowGrass,Artifact/Consumable
4972,SatchelOfTheElements,Artifact/Consumable
4979,EnchantersTome,Artifact/Consumable
4986,ChargedRedstoneMines,Artifact/Consumable
4993,NetherWartSporeGrenade,Artifact/Consumable
5007,LostEvocation,Artifact/Consumable
5014,SpinWheel,Artifact/Consumable
5021,UpdraftTome,Artifact/Consumable
5028,GuardianEye,Artifact/Consumable
5042,SatchelofNeed,Artifact/Consumable
5049,HeavyHarpoonQuiver,Artifact/Consumable
5056,ShadowSplinter,Artifact/Consumable
5063,TomeOfDuplication,Artifact/Consumable
5070,VoidQuiver,Artifact/Consumable
5077,MobMasher,Artifact/Consumable
5280,Health Potion,Artifact/Consumable
